	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
752	Munro	Munro Township	56280	Munro Township-56280	427861.8931067608	10268.685434562258
753	Whiteford	Whiteford Township	86740	Whiteford Township-86740	2182452.983950697	52378.87161481672
754	Haring	Haring Township	36600	Haring Township-36600	686451.7962736468	16474.843110567523
755	Clinton	Clinton Township	16520	Clinton Township-16520	6096089.139811719	146306.13935548125
756	Maple Grove	Maple Grove Township	50960	Maple Grove Township-50960	288034.41350634024	6912.8259241521655
757	Oneida	Oneida Township	60700	Oneida Township-60700	652905.6360765181	15669.735265836434
758	Caledonia	Caledonia Township	12500	Caledonia Township-12500	1200563.2550650851	28813.51812156204
759	Elmira	Elmira Township	25620	Elmira Township-25620	584856.1875034447	14036.548500082674
760	Lyon	Lyon Township	49840	Lyon Township-49840	399921.2901527267	9598.11096366544
761	St James	St James Township	70920	St James Township-70920	208889.8169810409	5013.3556075449815
762	Bath	Bath Township	05900	Bath Township-05900	2056273.100898299	49350.55442155917
763	Ensley	Ensley Township	26160	Ensley Township-26160	411074.6642646321	9865.79194235117
764	Ingham	Ingham Township	40640	Ingham Township-40640	275885.5921367822	6621.254211282773
765	Augusta	Augusta Township	04180	Augusta Township-04180	1182375.9615133666	28377.0230763208
766	Burnside	Burnside Township	11900	Burnside Township-11900	396842.4588225671	9524.21901174161
767	Greenland	Greenland Township	35000	Greenland Township-35000	487380.19934216613	11697.124784211988
768	Greenleaf	Greenleaf Township	35020	Greenleaf Township-35020	267129.77774401655	6411.114665856397
769	Frost	Frost Township	30900	Frost Township-30900	446553.2719050599	10717.278525721438
770	Tekonsha	Tekonsha Township	79180	Tekonsha Township-79180	449427.6440983345	10786.263458360028
771	Elk	Elk Township	25280	Elk Township-25280	274762.194343975	6594.292664255399
772	Springfield	Springfield Township	75760	Springfield Township-75760	1186979.7383459238	28487.513720302173
773	Fenton	Fenton Township	27780	Fenton Township-27780	1049681.536119498	25192.35686686795
774	Brookfield	Brookfield Township	10920	Brookfield Township-10920	309189.2365128342	7420.541676308021
775	Osceola	Osceola Township	61260	Osceola Township-61260	393557.8016726404	9445.38724014337
776	Oregon	Oregon Township	61060	Oregon Township-61060	636610.3784209172	15278.649082102012
777	Grosse Ile	Grosse Ile Township	35420	Grosse Ile Township-35420	24973035.94284718	599352.8626283323
778	Essex	Essex Township	26400	Essex Township-26400	274101.01752263226	6578.424420543174
779	Sherman	Sherman Township	73260	Sherman Township-73260	294670.195798489	7072.0846991637345
780	Richfield	Richfield Township	68200	Richfield Township-68200	920667.0752404884	22096.009805771722
781	Noble	Noble Township	57860	Noble Township-57860	305268.63658875227	7326.447278130055
782	Cedarville	Cedarville Township	14240	Cedarville Township-14240	429013.0375066573	10296.312900159775
783	Pittsfield	Pittsfield Township	64560	Pittsfield Township-64560	3517901.2629299443	84429.63031031867
784	Lowell	Lowell Township	49560	Lowell Township-49560	707985.5011477541	16991.6520275461
785	Gunplain	Gunplain Township	35720	Gunplain Township-35720	648943.4849735479	15574.643639365147
786	McKinley	McKinley Township	50360	McKinley Township-50360	223890.383818039	5373.369211632937
787	Aloha	Aloha Township	01720	Aloha Township-01720	233883.5915520404	5613.206197248969
788	Milton	Milton Township	54460	Milton Township-54460	1426939.0091132487	34246.53621871797
789	Alaiedon	Alaiedon Township	00800	Alaiedon Township-00800	1173227.8671851114	28157.468812442676
790	Quincy	Quincy Township	66680	Quincy Township-66680	107366.8999065068	2576.805597756163
791	Greenwood	Greenwood Township	35160	Greenwood Township-35160	250647.1923647863	6015.532616754871
792	Mills	Mills Township	54320	Mills Township-54320	246444.95758571065	5914.678982057056
793	Green	Green Township	34760	Green Township-34760	602942.4847547702	14470.619634114486
794	New Haven	New Haven Township	57360	New Haven Township-57360	253505.31320910418	6084.127517018501
795	Amboy	Amboy Township	02020	Amboy Township-02020	264729.89216773823	6353.517412025718
796	Lenox	Lenox Township	46900	Lenox Township-46900	771855.2956366366	18524.527095279278
797	Sherman	Sherman Township	73240	Sherman Township-73240	249889.8496644127	5997.356391945905
798	Cottrellville	Cottrellville Township	18400	Cottrellville Township-18400	516750.3149239956	12402.007558175894
799	Ford River	Ford River Township	29380	Ford River Township-29380	568035.2159132877	13632.845181918905
800	Speaker	Speaker Township	75500	Speaker Township-75500	286864.0131446163	6884.736315470793
