	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
172	Chihuahua	Galeana	Galeana, Chihuahua	1037572.8966051193	24901.749518522865
173	Chihuahua	GómezFarías	GómezFarías, Chihuahua	982294.2967484422	23575.063121962616
174	Chihuahua	GranMorelos	GranMorelos, Chihuahua	56798.095911907796	1363.1543018857872
175	Chihuahua	Guachochi	Guachochi, Chihuahua	2146494.799200691	51515.875180816576
176	Chihuahua	Guadalupe	Guadalupe, Chihuahua	1112708.255947635	26704.99814274324
177	Chihuahua	GuadalupeyCalvo	GuadalupeyCalvo, Chihuahua	886288.5065033794	21270.924156081106
178	Chihuahua	Guazapares	Guazapares, Chihuahua	274633.9046973857	6591.213712737257
179	Chihuahua	Guerrero	Guerrero, Chihuahua	1937366.4888461805	46496.795732308325
180	Chihuahua	HidalgodelParral	HidalgodelParral, Chihuahua	2931285.572803668	70350.85374728803
181	Chihuahua	Huejotitán	Huejotitán, Chihuahua	97245.0871562702	2333.882091750485
182	Chihuahua	IgnacioZaragoza	IgnacioZaragoza, Chihuahua	1008136.7086287466	24195.281007089918
183	Chihuahua	Janos	Janos, Chihuahua	2074480.6129117163	49787.53470988119
184	Chihuahua	Jiménez	Jiménez, Chihuahua	7665169.947541489	183964.07874099573
185	Chihuahua	Juárez	Juárez, Chihuahua	56042331.08590203	1345015.9460616487
186	Chihuahua	Julimes	Julimes, Chihuahua	192404.64279539464	4617.711427089472
187	Chihuahua	LaCruz	LaCruz, Chihuahua	800942.7812739024	19222.626750573658
188	Chihuahua	López	López, Chihuahua	1349671.3893918158	32392.113345403577
189	Chihuahua	Madera	Madera, Chihuahua	3261697.8876994913	78280.74930478778
190	Chihuahua	Maguarichi	Maguarichi, Chihuahua	57952.24950832796	1390.853988199871
191	Chihuahua	ManuelBenavides	ManuelBenavides, Chihuahua	587679.0105628916	14104.2962535094
192	Chihuahua	Matachí	Matachí, Chihuahua	486122.4206729527	11666.938096150865
193	Chihuahua	Matamoros	Matamoros, Chihuahua	628577.4737670529	15085.85937040927
194	Chihuahua	Meoqui	Meoqui, Chihuahua	1481908.3135543417	35565.799525304195
195	Chihuahua	Morelos	Morelos, Chihuahua	148795.2085728377	3571.085005748105
