	state	city	municipality	edgar_emission_2015(tons_CO2)
317	Durango	Tlahualilo	Tlahualilo, Durango	6794.511354399926
318	Durango	Topia	Topia, Durango	4591.43008212441
319	Durango	VicenteGuerrero	VicenteGuerrero, Durango	5024.215468906089
320	Guanajuato	Abasolo	Abasolo, Guanajuato	40526.38896530409
321	Guanajuato	Acámbaro	Acámbaro, Guanajuato	39645.8978262545
322	Guanajuato	ApaseoelAlto	ApaseoelAlto, Guanajuato	45065.500108887936
323	Guanajuato	ApaseoelGrande	ApaseoelGrande, Guanajuato	63900.80517660621
324	Guanajuato	Atarjea	Atarjea, Guanajuato	1599.4807288736695
325	Guanajuato	Celaya	Celaya, Guanajuato	70364.81307631341
326	Guanajuato	Comonfort	Comonfort, Guanajuato	23920.947806774573
327	Guanajuato	Coroneo	Coroneo, Guanajuato	3772.2820358330773
328	Guanajuato	Cortazar	Cortazar, Guanajuato	60158.79585069937
329	Guanajuato	Cuerámaro	Cuerámaro, Guanajuato	12417.907297991074
330	Guanajuato	DoctorMora	DoctorMora, Guanajuato	7659.999298418519
331	Guanajuato	DoloresHidalgoCunadelaIndep	DoloresHidalgoCunadelaIndep, Guanajuato	62455.909888999704
332	Guanajuato	Guanajuato	Guanajuato, Guanajuato	34764.77606009872
333	Guanajuato	Huanímaro	Huanímaro, Guanajuato	7436.105651553327
334	Guanajuato	Irapuato	Irapuato, Guanajuato	119280.69953659274
335	Guanajuato	JaraldelProgreso	JaraldelProgreso, Guanajuato	12389.281955155737
336	Guanajuato	Jerécuaro	Jerécuaro, Guanajuato	28621.016682690562
337	Guanajuato	León	León, Guanajuato	258839.27132218765
338	Guanajuato	ManuelDoblado	ManuelDoblado, Guanajuato	23060.53848549851
339	Guanajuato	Moroleón	Moroleón, Guanajuato	16004.3412827132
340	Guanajuato	Ocampo	Ocampo, Guanajuato	12045.698076451734
341	Guanajuato	Pénjamo	Pénjamo, Guanajuato	62264.36479121142
342	Guanajuato	PuebloNuevo	PuebloNuevo, Guanajuato	15990.999913024989
343	Guanajuato	PurísimadelRincón	PurísimadelRincón, Guanajuato	39139.64670079446
344	Guanajuato	Romita	Romita, Guanajuato	38159.049496245934
345	Guanajuato	Salamanca	Salamanca, Guanajuato	55051.62863781515
346	Guanajuato	Salvatierra	Salvatierra, Guanajuato	30893.632793867055
347	Guanajuato	SanDiegodelaUnión	SanDiegodelaUnión, Guanajuato	18200.043232011933
348	Guanajuato	SanFelipe	SanFelipe, Guanajuato	50421.98090181762
349	Guanajuato	SanFranciscodelRincón	SanFranciscodelRincón, Guanajuato	49690.463631220795
350	Guanajuato	SanJoséIturbide	SanJoséIturbide, Guanajuato	28044.58855283152
351	Guanajuato	SanLuisdelaPaz	SanLuisdelaPaz, Guanajuato	34384.31696736236
352	Guanajuato	SanMigueldeAllende	SanMigueldeAllende, Guanajuato	69020.26808493213
353	Guanajuato	SantaCatarina	SantaCatarina, Guanajuato	3155.0798652994895
354	Guanajuato	SantaCruzdeJuventinoRosas	SantaCruzdeJuventinoRosas, Guanajuato	23046.48900536772
355	Guanajuato	SantiagoMaravatío	SantiagoMaravatío, Guanajuato	5191.45918707569
356	Guanajuato	SilaodelaVictoria	SilaodelaVictoria, Guanajuato	42354.12467465333
357	Guanajuato	Tarandacuao	Tarandacuao, Guanajuato	4834.956110708704
358	Guanajuato	Tarimoro	Tarimoro, Guanajuato	15139.317827063587
359	Guanajuato	TierraBlanca	TierraBlanca, Guanajuato	5337.801232336982
360	Guanajuato	Uriangato	Uriangato, Guanajuato	9593.484146244771
361	Guanajuato	ValledeSantiago	ValledeSantiago, Guanajuato	76576.86891224282
362	Guanajuato	Victoria	Victoria, Guanajuato	6094.062061117891
363	Guanajuato	Villagrán	Villagrán, Guanajuato	20843.16199940709
364	Guanajuato	Xichú	Xichú, Guanajuato	6068.723963564735
365	Guanajuato	Yuriria	Yuriria, Guanajuato	35760.520477843005
366	Guerrero	AcapulcodeJuárez	AcapulcodeJuárez, Guerrero	146653.67175923666
367	Guerrero	Acatepec	Acatepec, Guerrero	16618.532800273144
368	Guerrero	Ahuacuotzingo	Ahuacuotzingo, Guerrero	15284.749581755064
