	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	region	state	city	NAME	LABEL	FIPSCODE
78	meoqui, chihuahua	132780000.0	7758.3354	6379.886769519074	17.76732455367844	mexico	Chihuahua	Meoqui			
79	namiquipa, chihuahua			11677.669103883569		mexico	Chihuahua	Namiquipa			
80	nuevocasasgrandes, chihuahua	220300000.0	12872.129	4774.01020311985	62.91203884672186	mexico	Chihuahua	NuevoCasasGrandes			
81	ojinaga, chihuahua			19016.28200717688		mexico	Chihuahua	Ojinaga			
82	praxedisg.guerrero, chihuahua			1826.6610671848275		mexico	Chihuahua	PraxedisG.Guerrero			
83	rivapalacio, chihuahua			2636.7057901280587		mexico	Chihuahua	RivaPalacio			
84	rosales, chihuahua			16064.89966235474		mexico	Chihuahua	Rosales			
85	santaisabel, chihuahua			2112.37064346539		mexico	Chihuahua	SantaIsabel			
86	satevó, chihuahua			2495.823904079819		mexico	Chihuahua	Satevó			
87	saucillo, chihuahua	97630000.0	5704.5209	9729.858980341149	70.5639991667161	mexico	Chihuahua	Saucillo			
88	temósachic, chihuahua			4215.517434870282		mexico	Chihuahua	Temósachic			
89	abasolo, coahuila			1115.804952071859		mexico	Coahuila	Abasolo			
90	acuña, coahuila	463700000.0	27093.991	92416.29138241014	241.095157898333	mexico	Coahuila	Acuña			
91	allende, coahuila			5325.294379762897		mexico	Coahuila	Allende			
92	arteaga, coahuila			6541.420105353901		mexico	Coahuila	Arteaga			
93	candela, coahuila			2308.1089671389186		mexico	Coahuila	Candela			
94	castaños, coahuila			21462.913338023525		mexico	Coahuila	Castaños			
95	cuatrociénegas, coahuila			4631.773517583235		mexico	Coahuila	CuatroCiénegas			
96	escobedo, coahuila			1173.9853756620632		mexico	Coahuila	Escobedo			
97	frontera, coahuila	232210000.0	13568.0303	31636.37301126707	133.1685020726042	mexico	Coahuila	Frontera			
98	generalcepeda, coahuila			6259.159783191808		mexico	Coahuila	GeneralCepeda			
99	guerrero, coahuila			1082.3835729639293		mexico	Coahuila	Guerrero			
100	hidalgo, coahuila			554.1511794550227		mexico	Coahuila	Hidalgo			
101	jiménez, coahuila			7936.428834846239		mexico	Coahuila	Jiménez			
102	juárez, coahuila			856.2143345868501		mexico	Coahuila	Juárez			
103	lamadrid, coahuila			286.8988404344257		mexico	Coahuila	Lamadrid			
104	matamoros, coahuila	301170000.0	17597.3631	30355.73398490242	72.5016061349693	mexico	Coahuila	Matamoros			
105	monclova, coahuila	795800000.0	46498.594000000005	15216.023054408077	67.27638032580496	mexico	Coahuila	Monclova			
106	morelos, coahuila			4477.967269688182		mexico	Coahuila	Morelos			
