	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
959	Greenwood	Greenwood Township	35200	Greenwood Township-35200	1256.930119577632
960	Lynn	Lynn Township	49800	Lynn Township-49800	2796.27255077731
961	Marquette	Marquette Township	51920	Marquette Township-51920	7985.848850301483
962	Lee	Lee Township	46600	Lee Township-46600	2306.9948513155136
963	Lyndon	Lyndon Township	49780	Lyndon Township-49780	8362.22133172354
964	Littlefield	Littlefield Township	48020	Littlefield Township-48020	1278.96847372219
965	Hendricks	Hendricks Township	37660	Hendricks Township-37660	160.2380402176956
966	Mikado	Mikado Township	53880	Mikado Township-53880	1304.779958696146
967	Secord	Secord Township	72240	Secord Township-72240	269.27098886472504
968	James	James Township	41480	James Township-41480	37401.05129688493
969	Vienna	Vienna Township	82380	Vienna Township-82380	8917.398848973038
970	Richland	Richland Township	68320	Richland Township-68320	611.1220054811743
971	Maple Grove	Maple Grove Township	51000	Maple Grove Township-51000	497.9208616056383
972	Mueller	Mueller Township	56060	Mueller Township-56060	253.44834126492472
973	Eaton	Eaton Township	24520	Eaton Township-24520	9931.390923151943
974	Rogers	Rogers Township	69240	Rogers Township-69240	1789.9373473798403
975	Richmond	Richmond Township	68440	Richmond Township-68440	1183.3873266845244
976	Vernon	Vernon Township	82000	Vernon Township-82000	6612.8266087206375
977	Billings	Billings Township	08360	Billings Township-08360	333.16243810242077
978	Royal Oak	Royal Oak Township	70060	Royal Oak Township-70060	4943.402981006596
979	Berrien	Berrien Township	07820	Berrien Township-07820	4170.365785348086
980	Wilson	Wilson Township	87700	Wilson Township-87700	4087.133225061805
981	Ovid	Ovid Township	61880	Ovid Township-61880	5458.069793677583
982	Maple Ridge	Maple Ridge Township	51220	Maple Ridge Township-51220	1327.1645390056638
983	Ann Arbor	Ann Arbor Township	03020	Ann Arbor Township-03020	5033.234821110285
984	Tuscola	Tuscola Township	80940	Tuscola Township-80940	3144.6341321064015
985	Tecumseh	Tecumseh Township	79140	Tecumseh Township-79140	4344.660447079185
986	Pentwater	Pentwater Township	63560	Pentwater Township-63560	1709.775352930446
987	Rush	Rush Township	70260	Rush Township-70260	5530.962539085124
988	Plymouth	Plymouth Township	65080	Plymouth Township-65080	71810.40400987607
989	Humboldt	Humboldt Township	39940	Humboldt Township-39940	617.45777436974
990	Mentor	Mentor Township	53120	Mentor Township-53120	629.8402879173466
991	Baltimore	Baltimore Township	05020	Baltimore Township-05020	4871.0555060447405
992	Georgetown	Georgetown Township	31880	Georgetown Township-31880	92213.04492378264
993	Rose Lake	Rose Lake Township	69760	Rose Lake Township-69760	710.6981848184026
994	Lakefield	Lakefield Township	44560	Lakefield Township-44560	1685.8105315434304
995	Novesta	Novesta Township	59420	Novesta Township-59420	2451.8296345165077
996	Ashland	Ashland Township	03700	Ashland Township-03700	4231.927224099587
997	Elk Rapids	Elk Rapids Township	25340	Elk Rapids Township-25340	802.236606572108
998	Nunda	Nunda Township	59500	Nunda Township-59500	640.4811154927461
999	Foster	Foster Township	29860	Foster Township-29860	789.8200547399144
1000	Roscommon	Roscommon Township	69560	Roscommon Township-69560	11177.999388474518
1001	Echo	Echo Township	24640	Echo Township-24640	3172.595911448711
1002	Rollin	Rollin Township	69340	Rollin Township-69340	3070.3321394790073
1003	Escanaba	Escanaba Township	26380	Escanaba Township-26380	6183.926271461726
1004	Texas	Texas Township	79300	Texas Township-79300	144111.68461736612
1005	Martin	Martin Township	52000	Martin Township-52000	4585.292112304114
1006	Clayton	Clayton Township	16240	Clayton Township-16240	778.9779861085685
1007	Salem	Salem Township	71130	Salem Township-71130	51561.92762825612
1008	North Plains	North Plains Township	58720	North Plains Township-58720	7675.951112372746
1009	Hope	Hope Township	39160	Hope Township-39160	833.3222458559169
1010	Addison	Addison Township	00400	Addison Township-00400	8160.888979224406
1011	Dafter	Dafter Township	19540	Dafter Township-19540	13031.980456988897
1012	Springvale	Springvale Township	75900	Springvale Township-75900	1993.3148705047117
1013	Hope	Hope Township	39120	Hope Township-39120	5766.07687576278
1014	Clyde	Clyde Township	16760	Clyde Township-16760	12695.755086627949
1015	Slagle	Slagle Township	74220	Slagle Township-74220	598.7990201599729
1016	Clay	Clay Township	16180	Clay Township-16180	27997.470031573706
1017	Wells	Wells Township	85240	Wells Township-85240	11641.778449005331
1018	Dayton	Dayton Township	19960	Dayton Township-19960	1160.375711737322
1019	Kimball	Kimball Township	43160	Kimball Township-43160	39493.47804756377
1020	Mottville	Mottville Township	55780	Mottville Township-55780	4248.205999561784
1021	Powell	Powell Township	66120	Powell Township-66120	303.2185179525399
1022	Pleasant Plains	Pleasant Plains Township	64880	Pleasant Plains Township-64880	1391.845417481325
1023	Boon	Boon Township	09580	Boon Township-09580	637.5303655688691
1024	Albee	Albee Township	00920	Albee Township-00920	19126.764135332007
1025	Homer	Homer Township	38940	Homer Township-38940	2578.1675597973317
1026	Ingallston	Ingallston Township	40600	Ingallston Township-40600	411.55406096211937
1027	Hadley	Hadley Township	35840	Hadley Township-35840	8292.64496418045
1028	Columbia	Columbia Township	17420	Columbia Township-17420	1005.317995790343
1029	Scipio	Scipio Township	71980	Scipio Township-71980	1650.5799788557715
1030	Huron	Huron Township	40040	Huron Township-40040	108049.1440082604
1031	Assyria	Assyria Township	03860	Assyria Township-03860	1975.7286828721144
1032	Coldwater	Coldwater Township	17040	Coldwater Township-17040	5224.792177720492
1033	White Pigeon	White Pigeon Township	86940	White Pigeon Township-86940	3633.336043820803
1034	Dundee	Dundee Township	23400	Dundee Township-23400	12831.916096862655
1035	Sturgis	Sturgis Township	76980	Sturgis Township-76980	7461.049876777156
1036	Rockland	Rockland Township	69140	Rockland Township-69140	375.0520156833764
