	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
59	wellesley	3047274.0	262580.0	2784694.0	760043.0742686455	973	1280605.0324186494	7535	8508	2040648.106687295	642.6191917685575	27632.625246047974	27291698.29406089	0.001012491965443619																																																			None				123658.761667932	82347.90382817414	73230.71865974933			
60	needham	4184079.0	335109.0	3848970.0	845783.5453242646	820	1548815.848225192	9139	9959	2394599.3935494567	561.536161242791	29761.41654586792	32966977.27051484	0.000902764493743443																																																			None				169810.554056571	96667.61975800445	100561.81011230135			
61	petersham	297378.0	5295.0	292083.0	39344.52665333973	59	98515.63252526922	636	695	137860.15917860894	5.1308390691144155	1344.2798361079767	176876492.14539844	7.600104569028503e-06																																																			None				12083.708630889	5572.669376519769	7155.9722512124645			
62	reading	2715329.0	200916.0	2514413.0	365822.3548329376	359	1122996.813608022	7543	7902	1488819.1684409596	586.3785381998334	24627.898604393005	25890857.61471775	0.0009512198850606319																																																			None				110214.528632388	60228.68297270397	65269.043856100165			
63	quincy	6950556.0	741303.0	6209253.0	1430791.189385022	1146	2616309.5470264778	21623	22769	4047100.7364115	1244.2049242340856	89582.75454485416	44872562.15307517	0.0019963815357647223	21.0	Quincy	2015.0	4948247.0		93688.0	URB				936000000.0	1332000000.0		61200000.0	20880000.0						1522313856.0	1617458472.0		114173539.2	5708676.96	959601891.3	191920378.26		9084231.23764	575761.13478																					POINT (-71.00227 42.25288)	2329200000.0	4414552367.99764	257147.6754358625	281941.872854481	163376.41525483635	166965.97710442363	9.642007214956381	36.46591789021032	35.070003327302835
64	chesterfield	284336.0	4916.0	279420.0	26251.406899987243	50	116523.50958499171	786	836	142774.91648497895	9.821617797851562	1227.7022247314453	80968322.99053536	1.5162747348428536e-05																																																			None				11553.873806124002	5782.796664959197	6842.204067986633			
65	randolph	3814120.0	552245.0	3261875.0	625521.4700276023	427	1207055.4695285691	8664	9091	1832576.9395561714	697.5738121219304	32088.395357608795	26992394.090732377	0.0011887939709885197																																																			None				154600.707884355	73996.52403512201	91554.53920911503			
66	sheffield	950429.0	19422.0	931007.0	199310.59375284717	259	352846.18931942596	2266	2525	552156.7830722731	15.811559409363982	3067.4425254166126	125815602.82528992	2.4380462013730723e-05																																																			None				38617.919267274	22286.637076411367	22869.53179007966			
67	newburyport	2287534.0	291569.0	1995965.0	564582.1689131276	397	792314.3943715707	5626	6023	1356896.5632846984	464.927863319431	16272.475216180086	22655772.47588292	0.0007182485273235394																																																			None				92753.743927671	54709.12685404863	54928.767153966764			
68	maynard	1100717.0	61129.0	1039588.0	197733.90944955515	197	466467.79238340404	3515	3712	664201.7018329592	480.18392741112484	10083.862475633621	13912527.488033712	0.0007248044961137968																																																			None				44693.890901415005	26842.313199068558	26467.722191817964			
