	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
178	salvatierra, guanajuato	308000000.0	17996.44	Guanajuato	Salvatierra	332183.41652276175	7972.401996546281	55.700116264404066
179	sandiegodelaunión, guanajuato	90950000.0	5314.2085	Guanajuato	SanDiegodelaUnión	202034.88245607843	4848.837178945882	8.757114461243237
180	sanfelipe, guanajuato	263740000.0	15410.3282	Guanajuato	SanFelipe	493504.1518791604	11844.099645099848	23.141807939561936
181	sanfranciscodelrincón, guanajuato	338800000.0	19796.084	Guanajuato	SanFranciscodelRincón	292244.1218047723	7013.858923314535	64.5694627113396
182	sanjoséiturbide, guanajuato	205290000.0	11995.0947	Guanajuato	SanJoséIturbide	294370.01113383804	7064.880267212114	41.101921711279914
183	sanluisdelapaz, guanajuato	292000000.0	17061.56	Guanajuato	SanLuisdelaPaz	461754.20423349703	11082.10090160393	35.046379688586924
184	sanmigueldeallende, guanajuato	451600000.0	26386.988	Guanajuato	SanMigueldeAllende	678442.6137506025	16282.622730014458	38.292984671026275
185	santacatarina, guanajuato			Guanajuato	SantaCatarina	36667.32998109001	880.0159195461604	
186	santacruzdejuventinorosas, guanajuato	208910000.0	12206.6113	Guanajuato	SantaCruzdeJuventinoRosas	333652.1621749011	8007.651892197627	34.3990588755978
187	santiagomaravatío, guanajuato			Guanajuato	SantiagoMaravatío	36826.7954433592	883.8430906406207	
188	silaodelavictoria, guanajuato	373500000.0	21823.605	Guanajuato	SilaodelaVictoria	592669.992732223	14224.079825573352	34.82250148143099
189	tarandacuao, guanajuato			Guanajuato	Tarandacuao	60285.2330406799	1446.8455929763177	
190	tarimoro, guanajuato	108370000.0	6332.0591	Guanajuato	Tarimoro	155768.24722646945	3738.437933435267	40.96015412371519
191	tierrablanca, guanajuato			Guanajuato	TierraBlanca	58913.04526613913	1413.913086387339	
192	uriangato, guanajuato	203200000.0	11872.976	Guanajuato	Uriangato	142590.48334169373	3422.171600200649	71.17680015355334
193	valledesantiago, guanajuato	384600000.0	22472.178	Guanajuato	ValledeSantiago	606404.0597260403	14553.697433424968	35.236818463145994
194	victoria, guanajuato			Guanajuato	Victoria	91792.77465823689	2203.0265917976853	
195	villagrán, guanajuato	163020000.0	9525.258600000001	Guanajuato	Villagrán	149072.59904025303	3577.7423769660727	62.439419996785475
196	xichú, guanajuato			Guanajuato	Xichú	79449.27238518366	1906.7825372444079	
197	yuriria, guanajuato	215110000.0	12568.8773	Guanajuato	Yuriria	346829.99749554525	8323.919939893085	33.773560348997236
198	acapulcodejuárez, guerrero	2719000000.0	158871.17	Guerrero	AcapulcodeJuárez	1542299.0159881976	37015.176383716745	76.7011369125583
199	buenavistadecuéllar, guerrero			Guerrero	BuenavistadeCuéllar	51162.49913843711	1227.8999793224907	
200	coyucadebenítez, guerrero	203590000.0	11895.7637	Guerrero	CoyucadeBenítez	354313.174713083	8503.516193113992	28.516433181049216
